problem,nb_of_threads,time
src/readerwriter_with_sem_TTS, 8, 0.14
src/test-and-set, 8, 1.28
src/test-and-test-and-set, 8, 1.11
src/philosophers, 8, 0.47
src/philosophers_with_sem_TS, 8, 5.23
src/philosophers_with_sem_TTS, 8, 5.33
src/producerconsummer, 8, 1.63
src/producerconsummer_with_sem_TS, 8, 3.37
src/producerconsummer_with_sem_TTS, 8, 4.02
src/readerwriter, 8, 0.03
src/readerwriter_with_sem_TS, 8, 0.08
src/readerwriter_with_sem_TTS, 8, 0.12
src/test-and-set, 8, 1.32
src/test-and-test-and-set, 8, 1.16
src/philosophers, 16, 0.49
src/philosophers_with_sem_TS, 16, 10.80
src/philosophers_with_sem_TTS, 16, 9.33
src/producerconsummer, 16, 1.84
src/producerconsummer_with_sem_TS, 16, 19.51
src/producerconsummer_with_sem_TTS, 16, 53.55
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.15
src/readerwriter_with_sem_TTS, 16, 0.43
src/test-and-set, 16, 2.43
src/test-and-test-and-set, 16, 2.20
src/philosophers, 16, 0.48
src/philosophers_with_sem_TS, 16, 11.96
src/philosophers_with_sem_TTS, 16, 10.48
src/producerconsummer, 16, 1.79
src/producerconsummer_with_sem_TS, 16, 18.52
src/producerconsummer_with_sem_TTS, 16, 51.43
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.18
src/readerwriter_with_sem_TTS, 16, 0.25
src/test-and-set, 16, 2.43
src/test-and-test-and-set, 16, 2.14
src/philosophers, 16, 0.40
src/philosophers_with_sem_TS, 16, 11.19
src/philosophers_with_sem_TTS, 16, 11.09
src/producerconsummer, 16, 1.73
src/producerconsummer_with_sem_TS, 16, 18.29
src/producerconsummer_with_sem_TTS, 16, 53.07
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.28
src/readerwriter_with_sem_TTS, 16, 0.50
src/test-and-set, 16, 2.51
src/test-and-test-and-set, 16, 2.11
src/philosophers, 16, 0.47
src/philosophers_with_sem_TS, 16, 10.81
src/philosophers_with_sem_TTS, 16, 8.68
src/producerconsummer, 16, 1.69
src/producerconsummer_with_sem_TS, 16, 18.97
src/producerconsummer_with_sem_TTS, 16, 57.51
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.34
src/readerwriter_with_sem_TTS, 16, 0.32
src/test-and-set, 16, 2.67
src/test-and-test-and-set, 16, 2.27
src/philosophers, 16, 0.35
src/philosophers_with_sem_TS, 16, 12.32
src/philosophers_with_sem_TTS, 16, 10.57
src/producerconsummer, 16, 1.68
src/producerconsummer_with_sem_TS, 16, 18.40
src/producerconsummer_with_sem_TTS, 16, 53.69
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.26
src/readerwriter_with_sem_TTS, 16, 0.30
src/test-and-set, 16, 2.40
src/test-and-test-and-set, 16, 2.47
src/philosophers, 32, 0.55
src/philosophers_with_sem_TS, 32, 18.20
src/philosophers_with_sem_TTS, 32, 16.81
src/producerconsummer, 32, 1.90
src/producerconsummer_with_sem_TS, 32, 251.42
src/producerconsummer_with_sem_TTS, 32, 1240.37
src/readerwriter, 32, 0.03
src/readerwriter_with_sem_TS, 32, 0.88
src/readerwriter_with_sem_TTS, 32, 1.00
src/test-and-set, 32, 5.20
src/test-and-test-and-set, 32, 4.13
src/philosophers, 32, 0.58
src/philosophers_with_sem_TS, 32, 19.07
src/philosophers_with_sem_TTS, 32, 15.97
src/producerconsummer, 32, 1.96
src/producerconsummer_with_sem_TS, 32, 264.17
src/producerconsummer_with_sem_TTS, 32, 838.00
src/readerwriter, 32, 0.03
src/readerwriter_with_sem_TS, 32, 0.72
src/readerwriter_with_sem_TTS, 32, 1.26
src/test-and-set, 32, 4.67
src/test-and-test-and-set, 32, 5.00
src/philosophers, 32, 0.77
src/philosophers_with_sem_TS, 32, 22.82
src/philosophers_with_sem_TTS, 32, 12.61
src/producerconsummer, 32, 2.09
src/producerconsummer_with_sem_TS, 32, 257.17
src/producerconsummer_with_sem_TTS, 32, 987.86
src/readerwriter, 32, 0.04
src/readerwriter_with_sem_TS, 32, 0.17
src/readerwriter_with_sem_TTS, 32, 3.56
src/test-and-set, 32, 4.53
src/test-and-test-and-set, 32, 4.34
src/philosophers, 32, 0.67
src/philosophers_with_sem_TS, 32, 22.59
src/philosophers_with_sem_TTS, 32, 8.82
src/producerconsummer, 32, 1.98
src/producerconsummer_with_sem_TS, 32, 226.08
src/producerconsummer_with_sem_TTS, 32, 1026.09
src/readerwriter, 32, 0.03
src/readerwriter_with_sem_TS, 32, 0.39
src/readerwriter_with_sem_TTS, 32, 0.80
src/test-and-set, 32, 5.04
src/test-and-test-and-set, 32, 3.96
src/philosophers, 32, 0.61
