problem,nb_of_threads,time
src/readerwriter_with_sem_TTS, 8, 0.15
src/test-and-set, 8, 1.38
src/test-and-test-and-set, 8, 1.01
src/philosophers, 8, 0.43
src/philosophers_with_sem_TS, 8, 4.42
src/philosophers_with_sem_TTS, 8, 4.29
src/producerconsummer, 8, 1.58
src/producerconsummer_with_sem_TS, 8, 2.75
src/producerconsummer_with_sem_TTS, 8, 5.44
src/readerwriter, 8, 0.03
src/readerwriter_with_sem_TS, 8, 0.08
src/readerwriter_with_sem_TTS, 8, 0.09
src/test-and-set, 8, 1.40
src/test-and-test-and-set, 8, 1.21
src/philosophers, 16, 0.43
src/philosophers_with_sem_TS, 16, 11.20
src/philosophers_with_sem_TTS, 16, 10.66
src/producerconsummer, 16, 1.72
src/producerconsummer_with_sem_TS, 16, 14.57
src/producerconsummer_with_sem_TTS, 16, 44.49
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.18
src/readerwriter_with_sem_TTS, 16, 0.57
src/test-and-set, 16, 2.49
src/test-and-test-and-set, 16, 2.45
src/philosophers, 16, 0.41
src/philosophers_with_sem_TS, 16, 11.08
src/philosophers_with_sem_TTS, 16, 8.92
src/producerconsummer, 16, 1.68
src/producerconsummer_with_sem_TS, 16, 16.61
src/producerconsummer_with_sem_TTS, 16, 41.70
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.23
src/readerwriter_with_sem_TTS, 16, 0.43
src/test-and-set, 16, 2.74
src/test-and-test-and-set, 16, 2.12
src/philosophers, 16, 0.48
src/philosophers_with_sem_TS, 16, 11.02
src/philosophers_with_sem_TTS, 16, 9.12
src/producerconsummer, 16, 1.73
src/producerconsummer_with_sem_TS, 16, 15.12
src/producerconsummer_with_sem_TTS, 16, 42.68
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.25
src/readerwriter_with_sem_TTS, 16, 0.55
src/test-and-set, 16, 2.52
src/test-and-test-and-set, 16, 2.09
src/philosophers, 16, 0.40
src/philosophers_with_sem_TS, 16, 10.70
src/philosophers_with_sem_TTS, 16, 9.80
src/producerconsummer, 16, 1.70
src/producerconsummer_with_sem_TS, 16, 15.81
src/producerconsummer_with_sem_TTS, 16, 44.11
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.20
src/readerwriter_with_sem_TTS, 16, 0.45
src/test-and-set, 16, 2.44
src/test-and-test-and-set, 16, 2.18
src/philosophers, 16, 0.44
src/philosophers_with_sem_TS, 16, 11.30
src/philosophers_with_sem_TTS, 16, 9.50
src/producerconsummer, 16, 1.71
src/producerconsummer_with_sem_TS, 16, 17.37
src/producerconsummer_with_sem_TTS, 16, 41.79
src/readerwriter, 16, 0.03
src/readerwriter_with_sem_TS, 16, 0.28
src/readerwriter_with_sem_TTS, 16, 0.26
src/test-and-set, 16, 2.66
src/test-and-test-and-set, 16, 2.19
src/philosophers, 32, 0.65
src/philosophers_with_sem_TS, 32, 17.93
src/philosophers_with_sem_TTS, 32, 9.65
src/producerconsummer, 32, 1.98
src/producerconsummer_with_sem_TS, 32, 233.02
src/producerconsummer_with_sem_TTS, 32, 437.73
src/readerwriter, 32, 0.03
src/readerwriter_with_sem_TS, 32, 1.05
src/readerwriter_with_sem_TTS, 32, 1.08
src/test-and-set, 32, 5.19
src/test-and-test-and-set, 32, 4.50
src/philosophers, 32, 0.75
src/philosophers_with_sem_TS, 32, 21.21
src/philosophers_with_sem_TTS, 32, 15.77
src/producerconsummer, 32, 2.29
src/producerconsummer_with_sem_TS, 32, 18.55
src/producerconsummer_with_sem_TTS, 32, 1.79
src/readerwriter, 32, 0.04
src/readerwriter_with_sem_TS, 32, 1.20
src/readerwriter_with_sem_TTS, 32, 1.47
src/test-and-set, 32, 4.97
