problem,nb_of_threads,time
readwrite,2,Command terminated by signal 11
0.06
readwrite,2,Command terminated by signal 11
0.05
readwrite,2,Command terminated by signal 11
0.07
readwrite,2,Command terminated by signal 11
0.07
readwrite,2,Command terminated by signal 11
0.07
readwrite,4,Command terminated by signal 11
0.07
readwrite,4,Command terminated by signal 11
0.05
readwrite,4,Command terminated by signal 11
0.06
readwrite,4,Command terminated by signal 11
0.05
readwrite,4,Command terminated by signal 11
0.04
readwrite,8,Command terminated by signal 11
0.04
readwrite,8,Command terminated by signal 11
0.04
readwrite,8,Command terminated by signal 11
0.04
readwrite,8,Command terminated by signal 11
0.07
readwrite,8,Command terminated by signal 11
0.05
readwrite,16,Command terminated by signal 11
0.05
readwrite,16,Command terminated by signal 11
0.08
readwrite,16,Command terminated by signal 11
0.05
readwrite,16,Command terminated by signal 11
0.04
readwrite,16,Command terminated by signal 11
0.05
readwrite,32,Command terminated by signal 11
0.06
readwrite,32,Command terminated by signal 11
0.05
readwrite,32,Command terminated by signal 11
0.04
readwrite,32,Command terminated by signal 11
0.05
readwrite,32,Command terminated by signal 11
0.06
